data_dt,listing_id,user_id,days_available,days_booked,occupancy_rate,room_type,neighborhood,listing_created_date,host_since,host_is_superhost
2024-08-01,L1001,U200,29,16,0.55,Private room,Downtown,2023-07-01,2024-01-30,False
2024-08-01,L1002,U205,22,22,1.0,Private room,Downtown,2024-12-08,2024-04-17,False
2024-08-01,L1003,U205,23,18,0.78,Shared room,Suburb,2023-02-12,2024-04-17,False
2024-08-01,L1004,U204,29,15,0.52,Private room,Beachfront,2024-12-24,2019-10-15,True
2024-08-01,L1005,U202,20,4,0.2,Private room,Old Town,2022-10-23,2024-01-21,False
2024-08-01,L1006,U202,21,14,0.67,Shared room,Beachfront,2023-04-06,2024-01-21,False
2024-08-01,L1007,U203,21,9,0.43,Private room,Downtown,2023-11-08,2023-12-28,False
2024-08-01,L1008,U201,22,14,0.64,Private room,Suburb,2023-09-02,2024-01-16,False
2024-08-01,L1009,U206,22,9,0.41,Entire home/apt,Suburb,2024-09-02,2018-05-08,True
2024-08-01,L1010,U201,23,3,0.13,Shared room,Old Town,2023-07-24,2024-01-16,False
2024-08-01,L1011,U201,20,9,0.45,Shared room,Old Town,2024-01-20,2024-01-16,False
2024-08-01,L1012,U209,24,14,0.58,Shared room,Suburb,2025-02-16,2018-01-04,False
2024-08-01,L1013,U208,20,13,0.65,Private room,Beachfront,2023-07-18,2020-02-17,False
2024-08-01,L1014,U200,29,14,0.48,Private room,Suburb,2025-01-28,2024-01-30,False
2024-08-01,L1015,U207,30,25,0.83,Shared room,Suburb,2023-01-21,2020-05-16,False
2024-08-01,L1016,U205,25,13,0.52,Shared room,Old Town,2023-05-19,2024-04-17,False
2024-08-01,L1017,U203,27,25,0.93,Private room,Beachfront,2024-04-20,2023-12-28,False
2024-08-01,L1018,U204,25,20,0.8,Private room,Beachfront,2024-12-12,2019-10-15,True
2024-08-01,L1019,U204,24,22,0.92,Entire home/apt,Old Town,2023-08-15,2019-10-15,True
2024-09-01,L1000,U203,23,5,0.22,Private room,Suburb,2023-08-30,2023-12-28,False
2024-09-01,L1001,U200,22,3,0.14,Private room,Downtown,2023-07-01,2024-01-30,False
2024-09-01,L1002,U204,30,21,0.7,Private room,Downtown,2024-12-08,2019-10-15,True
2024-09-01,L1003,U208,28,27,0.96,Shared room,Suburb,2023-02-12,2020-02-17,False
2024-09-01,L1004,U209,29,17,0.59,Private room,Beachfront,2024-12-24,2018-01-04,False
2024-09-01,L1005,U208,28,7,0.25,Private room,Old Town,2022-10-23,2020-02-17,False
2024-09-01,L1006,U201,25,16,0.64,Shared room,Beachfront,2023-04-06,2024-01-16,False
2024-09-01,L1007,U207,29,19,0.66,Private room,Downtown,2023-11-08,2020-05-16,False
2024-09-01,L1008,U207,28,22,0.79,Private room,Suburb,2023-09-02,2020-05-16,False
2024-09-01,L1009,U209,23,0,0.0,Entire home/apt,Suburb,2024-09-02,2018-01-04,False
2024-09-01,L1010,U200,24,14,0.58,Shared room,Old Town,2023-07-24,2024-01-30,False
2024-09-01,L1011,U208,27,20,0.74,Shared room,Old Town,2024-01-20,2020-02-17,False
2024-09-01,L1012,U207,25,24,0.96,Shared room,Suburb,2025-02-16,2020-05-16,False
2024-09-01,L1013,U208,27,8,0.3,Private room,Beachfront,2023-07-18,2020-02-17,False
2024-09-01,L1014,U206,27,8,0.3,Private room,Suburb,2025-01-28,2018-05-08,True
2024-09-01,L1015,U209,25,17,0.68,Shared room,Suburb,2023-01-21,2018-01-04,False
2024-09-01,L1016,U204,24,22,0.92,Shared room,Old Town,2023-05-19,2019-10-15,True
2024-09-01,L1017,U207,20,4,0.2,Private room,Beachfront,2024-04-20,2020-05-16,False
2024-09-01,L1018,U201,25,16,0.64,Private room,Beachfront,2024-12-12,2024-01-16,False
2024-09-01,L1019,U203,22,12,0.55,Entire home/apt,Old Town,2023-08-15,2023-12-28,False
2024-10-01,L1000,U202,29,16,0.55,Private room,Suburb,2023-08-30,2024-01-21,False
2024-10-01,L1001,U202,25,17,0.68,Private room,Downtown,2023-07-01,2024-01-21,False
2024-10-01,L1002,U209,21,6,0.29,Private room,Downtown,2024-12-08,2018-01-04,False
2024-10-01,L1003,U202,24,1,0.04,Shared room,Suburb,2023-02-12,2024-01-21,False
2024-10-01,L1004,U203,28,17,0.61,Private room,Beachfront,2024-12-24,2023-12-28,False
2024-10-01,L1005,U205,25,2,0.08,Private room,Old Town,2022-10-23,2024-04-17,False
2024-10-01,L1006,U203,29,12,0.41,Shared room,Beachfront,2023-04-06,2023-12-28,False
2024-10-01,L1007,U208,20,9,0.45,Private room,Downtown,2023-11-08,2020-02-17,False
2024-10-01,L1008,U207,21,5,0.24,Private room,Suburb,2023-09-02,2020-05-16,False
2024-10-01,L1009,U201,20,10,0.5,Entire home/apt,Suburb,2024-09-02,2024-01-16,False
2024-10-01,L1010,U200,30,21,0.7,Shared room,Old Town,2023-07-24,2024-01-30,False
2024-10-01,L1011,U204,22,18,0.82,Shared room,Old Town,2024-01-20,2019-10-15,True
2024-10-01,L1012,U203,25,8,0.32,Shared room,Suburb,2025-02-16,2023-12-28,False
2024-10-01,L1013,U208,25,25,1.0,Private room,Beachfront,2023-07-18,2020-02-17,False
2024-10-01,L1014,U205,30,15,0.5,Private room,Suburb,2025-01-28,2024-04-17,False
2024-10-01,L1015,U204,25,1,0.04,Shared room,Suburb,2023-01-21,2019-10-15,True
2024-10-01,L1016,U207,22,17,0.77,Shared room,Old Town,2023-05-19,2020-05-16,False
2024-10-01,L1017,U205,20,3,0.15,Private room,Beachfront,2024-04-20,2024-04-17,False
2024-10-01,L1018,U207,26,7,0.27,Private room,Beachfront,2024-12-12,2020-05-16,False
2024-10-01,L1019,U200,22,22,1.0,Entire home/apt,Old Town,2023-08-15,2024-01-30,False
2024-11-01,L1000,U209,24,20,0.83,Private room,Suburb,2023-08-30,2018-01-04,False
2024-11-01,L1001,U202,28,23,0.82,Private room,Downtown,2023-07-01,2024-01-21,False
2024-11-01,L1002,U200,28,9,0.32,Private room,Downtown,2024-12-08,2024-01-30,False
2024-11-01,L1003,U209,25,2,0.08,Shared room,Suburb,2023-02-12,2018-01-04,False
2024-11-01,L1004,U202,26,12,0.46,Private room,Beachfront,2024-12-24,2024-01-21,False
2024-11-01,L1005,U205,30,1,0.03,Private room,Old Town,2022-10-23,2024-04-17,False
2024-11-01,L1006,U202,24,10,0.42,Shared room,Beachfront,2023-04-06,2024-01-21,False
2024-11-01,L1007,U201,23,22,0.96,Private room,Downtown,2023-11-08,2024-01-16,False
2024-11-01,L1008,U209,26,16,0.62,Private room,Suburb,2023-09-02,2018-01-04,False
2024-11-01,L1009,U208,27,7,0.26,Entire home/apt,Suburb,2024-09-02,2020-02-17,False
2024-11-01,L1010,U200,24,4,0.17,Shared room,Old Town,2023-07-24,2024-01-30,False
2024-11-01,L1011,U201,26,2,0.08,Shared room,Old Town,2024-01-20,2024-01-16,False
2024-11-01,L1012,U208,22,7,0.32,Shared room,Suburb,2025-02-16,2020-02-17,False
2024-11-01,L1013,U202,24,12,0.5,Private room,Beachfront,2023-07-18,2024-01-21,False
2024-11-01,L1014,U201,28,6,0.21,Private room,Suburb,2025-01-28,2024-01-16,False
2024-11-01,L1015,U208,21,9,0.43,Shared room,Suburb,2023-01-21,2020-02-17,False
2024-11-01,L1016,U200,22,20,0.91,Shared room,Old Town,2023-05-19,2024-01-30,False
2024-11-01,L1017,U202,28,26,0.93,Private room,Beachfront,2024-04-20,2024-01-21,False
2024-11-01,L1018,U201,27,8,0.3,Private room,Beachfront,2024-12-12,2024-01-16,False
2024-11-01,L1019,U202,23,9,0.39,Entire home/apt,Old Town,2023-08-15,2024-01-21,False
2024-12-01,L1000,U207,26,22,0.85,Private room,Suburb,2023-08-30,2020-05-16,False
2024-12-01,L1001,U209,29,3,0.1,Private room,Downtown,2023-07-01,2018-01-04,False
2024-12-01,L1002,U201,28,23,0.82,Private room,Downtown,2024-12-08,2024-01-16,False
2024-12-01,L1003,U209,27,9,0.33,Shared room,Suburb,2023-02-12,2018-01-04,False
2024-12-01,L1004,U201,24,18,0.75,Private room,Beachfront,2024-12-24,2024-01-16,False
2024-12-01,L1005,U208,20,20,1.0,Private room,Old Town,2022-10-23,2020-02-17,False
2024-12-01,L1006,U207,25,19,0.76,Shared room,Beachfront,2023-04-06,2020-05-16,False
2024-12-01,L1007,U203,26,7,0.27,Private room,Downtown,2023-11-08,2023-12-28,False
2024-12-01,L1008,U202,29,26,0.9,Private room,Suburb,2023-09-02,2024-01-21,False
2024-12-01,L1009,U205,22,13,0.59,Entire home/apt,Suburb,2024-09-02,2024-04-17,False
2024-12-01,L1010,U205,23,5,0.22,Shared room,Old Town,2023-07-24,2024-04-17,False
2024-12-01,L1011,U202,26,10,0.38,Shared room,Old Town,2024-01-20,2024-01-21,False
2024-12-01,L1012,U201,26,7,0.27,Shared room,Suburb,2025-02-16,2024-01-16,False
2024-12-01,L1013,U206,24,6,0.25,Private room,Beachfront,2023-07-18,2018-05-08,True
2024-12-01,L1014,U203,24,0,0.0,Private room,Suburb,2025-01-28,2023-12-28,False
2024-12-01,L1015,U202,26,5,0.19,Shared room,Suburb,2023-01-21,2024-01-21,False
2024-12-01,L1016,U201,23,2,0.09,Shared room,Old Town,2023-05-19,2024-01-16,False
2024-12-01,L1017,U201,21,1,0.05,Private room,Beachfront,2024-04-20,2024-01-16,False
2024-12-01,L1018,U207,24,15,0.62,Private room,Beachfront,2024-12-12,2020-05-16,False
2024-12-01,L1019,U204,21,3,0.14,Entire home/apt,Old Town,2023-08-15,2019-10-15,True
2025-01-01,L1000,U207,24,3,0.12,Private room,Suburb,2023-08-30,2020-05-16,False
2025-01-01,L1001,U202,20,18,0.9,Private room,Downtown,2023-07-01,2024-01-21,False
2025-01-01,L1002,U205,30,30,1.0,Private room,Downtown,2024-12-08,2024-04-17,False
2025-01-01,L1003,U204,24,23,0.96,Shared room,Suburb,2023-02-12,2019-10-15,True
2025-01-01,L1004,U204,28,3,0.11,Private room,Beachfront,2024-12-24,2019-10-15,True
2025-01-01,L1005,U200,30,4,0.13,Private room,Old Town,2022-10-23,2024-01-30,False
2025-01-01,L1006,U203,27,9,0.33,Shared room,Beachfront,2023-04-06,2023-12-28,False
2025-01-01,L1007,U205,28,13,0.46,Private room,Downtown,2023-11-08,2024-04-17,False
2025-01-01,L1008,U209,22,3,0.14,Private room,Suburb,2023-09-02,2018-01-04,False
2025-01-01,L1009,U205,24,1,0.04,Entire home/apt,Suburb,2024-09-02,2024-04-17,False
2025-01-01,L1010,U207,24,8,0.33,Shared room,Old Town,2023-07-24,2020-05-16,False
2025-01-01,L1011,U205,21,6,0.29,Shared room,Old Town,2024-01-20,2024-04-17,False
2025-01-01,L1012,U204,28,25,0.89,Shared room,Suburb,2025-02-16,2019-10-15,True
2025-01-01,L1013,U208,29,24,0.83,Private room,Beachfront,2023-07-18,2020-02-17,False
2025-01-01,L1014,U201,22,16,0.73,Private room,Suburb,2025-01-28,2024-01-16,False
2025-01-01,L1015,U205,21,2,0.1,Shared room,Suburb,2023-01-21,2024-04-17,False
2025-01-01,L1016,U206,25,22,0.88,Shared room,Old Town,2023-05-19,2018-05-08,True
2025-01-01,L1017,U206,24,12,0.5,Private room,Beachfront,2024-04-20,2018-05-08,True
2025-01-01,L1018,U204,20,14,0.7,Private room,Beachfront,2024-12-12,2019-10-15,True
2025-01-01,L1019,U200,20,8,0.4,Entire home/apt,Old Town,2023-08-15,2024-01-30,False
2025-02-01,L1000,U208,20,5,0.25,Private room,Suburb,2023-08-30,2020-02-17,False
2025-02-01,L1001,U201,21,13,0.62,Private room,Downtown,2023-07-01,2024-01-16,False
2025-02-01,L1002,U204,25,0,0.0,Private room,Downtown,2024-12-08,2019-10-15,True
2025-02-01,L1003,U204,20,7,0.35,Shared room,Suburb,2023-02-12,2019-10-15,True
2025-02-01,L1004,U200,25,19,0.76,Private room,Beachfront,2024-12-24,2024-01-30,False
2025-02-01,L1005,U202,24,11,0.46,Private room,Old Town,2022-10-23,2024-01-21,False
2025-02-01,L1006,U209,25,0,0.0,Shared room,Beachfront,2023-04-06,2018-01-04,False
2025-02-01,L1007,U209,25,21,0.84,Private room,Downtown,2023-11-08,2018-01-04,False
2025-02-01,L1008,U200,20,1,0.05,Private room,Suburb,2023-09-02,2024-01-30,False
2025-02-01,L1009,U208,27,21,0.78,Entire home/apt,Suburb,2024-09-02,2020-02-17,False
2025-02-01,L1010,U208,26,2,0.08,Shared room,Old Town,2023-07-24,2020-02-17,False
2025-02-01,L1011,U208,30,29,0.97,Shared room,Old Town,2024-01-20,2020-02-17,False
2025-02-01,L1012,U205,24,1,0.04,Shared room,Suburb,2025-02-16,2024-04-17,False
2025-02-01,L1013,U204,23,16,0.7,Private room,Beachfront,2023-07-18,2019-10-15,True
2025-02-01,L1014,U207,30,14,0.47,Private room,Suburb,2025-01-28,2020-05-16,False
2025-02-01,L1015,U200,29,15,0.52,Shared room,Suburb,2023-01-21,2024-01-30,False
2025-02-01,L1016,U201,20,1,0.05,Shared room,Old Town,2023-05-19,2024-01-16,False
2025-02-01,L1017,U206,28,5,0.18,Private room,Beachfront,2024-04-20,2018-05-08,True
2025-02-01,L1018,U208,20,6,0.3,Private room,Beachfront,2024-12-12,2020-02-17,False
2025-02-01,L1019,U201,21,8,0.38,Entire home/apt,Old Town,2023-08-15,2024-01-16,False
2025-03-01,L1000,U203,28,2,0.07,Private room,Suburb,2023-08-30,2023-12-28,False
2025-03-01,L1001,U204,20,0,0.0,Private room,Downtown,2023-07-01,2019-10-15,True
2025-03-01,L1002,U207,30,22,0.73,Private room,Downtown,2024-12-08,2020-05-16,False
2025-03-01,L1003,U205,20,9,0.45,Shared room,Suburb,2023-02-12,2024-04-17,False
2025-03-01,L1004,U202,26,20,0.77,Private room,Beachfront,2024-12-24,2024-01-21,False
2025-03-01,L1005,U204,20,15,0.75,Private room,Old Town,2022-10-23,2019-10-15,True
2025-03-01,L1006,U205,24,10,0.42,Shared room,Beachfront,2023-04-06,2024-04-17,False
2025-03-01,L1007,U207,23,6,0.26,Private room,Downtown,2023-11-08,2020-05-16,False
2025-03-01,L1008,U206,23,19,0.83,Private room,Suburb,2023-09-02,2018-05-08,True
2025-03-01,L1009,U203,22,7,0.32,Entire home/apt,Suburb,2024-09-02,2023-12-28,False
2025-03-01,L1010,U201,29,10,0.34,Shared room,Old Town,2023-07-24,2024-01-16,False
2025-03-01,L1011,U203,22,13,0.59,Shared room,Old Town,2024-01-20,2023-12-28,False
2025-03-01,L1012,U201,20,2,0.1,Shared room,Suburb,2025-02-16,2024-01-16,False
2025-03-01,L1013,U205,22,20,0.91,Private room,Beachfront,2023-07-18,2024-04-17,False
2025-03-01,L1014,U204,26,3,0.12,Private room,Suburb,2025-01-28,2019-10-15,True
2025-03-01,L1015,U209,25,3,0.12,Shared room,Suburb,2023-01-21,2018-01-04,False
2025-03-01,L1016,U205,22,2,0.09,Shared room,Old Town,2023-05-19,2024-04-17,False
2025-03-01,L1017,U201,20,3,0.15,Private room,Beachfront,2024-04-20,2024-01-16,False
2025-03-01,L1018,U201,25,11,0.44,Private room,Beachfront,2024-12-12,2024-01-16,False
2025-03-01,L1019,U207,25,9,0.36,Entire home/apt,Old Town,2023-08-15,2020-05-16,False
2025-04-01,L1000,U200,21,18,0.86,Private room,Suburb,2023-08-30,2024-01-30,False
2025-04-01,L1001,U208,24,18,0.75,Private room,Downtown,2023-07-01,2020-02-17,False
2025-04-01,L1002,U209,27,13,0.48,Private room,Downtown,2024-12-08,2018-01-04,False
2025-04-01,L1003,U208,27,14,0.52,Shared room,Suburb,2023-02-12,2020-02-17,False
2025-04-01,L1004,U208,25,17,0.68,Private room,Beachfront,2024-12-24,2020-02-17,False
2025-04-01,L1005,U204,25,2,0.08,Private room,Old Town,2022-10-23,2019-10-15,True
2025-04-01,L1006,U207,27,3,0.11,Shared room,Beachfront,2023-04-06,2020-05-16,False
2025-04-01,L1007,U200,25,18,0.72,Private room,Downtown,2023-11-08,2024-01-30,False
2025-04-01,L1008,U206,21,8,0.38,Private room,Suburb,2023-09-02,2018-05-08,True
